año,ccz,est,se,cv,rango
2009,CCZ01,"4,842080817","0,7831378261","16,2",Menos de 6 años
2009,CCZ01,"22,59637715","1,717334932","7,6",de 6 a 9 años
2009,CCZ01,"26,85787274","1,781839846","6,6",de 10 a 12 años
2009,CCZ01,"45,7036693","2,027643068","4,4",12 o más años
2010,CCZ01,"4,417417245","0,8587713036","19,4",Menos de 6 años
2010,CCZ01,"23,49262808","1,780789069","7,6",de 6 a 9 años
2010,CCZ01,"25,51201882","1,813789334","7,1",de 10 a 12 años
2010,CCZ01,"46,57793586","2,142075988","4,6",12 o más años
2011,CCZ01,"3,796974134","0,6799344549","17,9",Menos de 6 años
2011,CCZ01,"17,40849195","1,454101186","8,4",de 6 a 9 años
2011,CCZ01,"25,9931674","1,465112337","5,6",de 10 a 12 años
2011,CCZ01,"52,80136652","1,799287296","3,4",12 o más años
2012,CCZ01,"3,092580174","0,5046578833","16,3",Menos de 6 años
2012,CCZ01,"17,42732042","1,297166439","7,4",de 6 a 9 años
2012,CCZ01,"27,55315372","1,322651683","4,8",de 10 a 12 años
2012,CCZ01,"51,92694568","1,813450249","3,5",12 o más años
2013,CCZ01,"2,969592792","0,5822239307","19,6",Menos de 6 años
2013,CCZ01,"19,26975283","1,665797833","8,6",de 6 a 9 años
2013,CCZ01,"21,26726335","1,669366325","7,8",de 10 a 12 años
2013,CCZ01,"56,49339103","2,138961713","3,8",12 o más años
2014,CCZ01,"2,576146434","0,5775770332","22,4",Menos de 6 años
2014,CCZ01,"17,84901458","1,499935362","8,4",de 6 a 9 años
2014,CCZ01,"24,41528255","1,499687132","6,1",de 10 a 12 años
2014,CCZ01,"55,15955644","2,124016246","3,9",12 o más años
2015,CCZ01,"3,193046661","0,6332938518","19,8",Menos de 6 años
2015,CCZ01,"13,47209515","1,222211665","9,1",de 6 a 9 años
2015,CCZ01,"25,21957914","1,607221013","6,4",de 10 a 12 años
2015,CCZ01,"58,11527905","1,964453137","3,4",12 o más años
2016,CCZ01,"2,468069633","0,7278882554","29,5",Menos de 6 años
2016,CCZ01,"19,04004363","3,118697724","16,4",de 6 a 9 años
2016,CCZ01,"24,68978683","1,471832658",6,de 10 a 12 años
2016,CCZ01,"53,8020999","3,484053317","6,5",12 o más años
2017,CCZ01,"1,843317972","0,4136199823","22,4",Menos de 6 años
2017,CCZ01,"14,21249838","1,48353576","10,4",de 6 a 9 años
2017,CCZ01,"23,8554632","1,643501083","6,9",de 10 a 12 años
2017,CCZ01,"60,08872044","2,018363614","3,4",12 o más años
2018,CCZ01,"1,006454901","0,2970357751","29,5",Menos de 6 años
2018,CCZ01,"16,22643112","1,460976459",9,de 6 a 9 años
2018,CCZ01,"21,62391711","1,498765648","6,9",de 10 a 12 años
2018,CCZ01,"61,14319687","2,097722283","3,4",12 o más años
2019,CCZ01,"1,893373194","0,5174770049","27,3",Menos de 6 años
2019,CCZ01,"12,78857333","1,548357411","12,1",de 6 a 9 años
2019,CCZ01,"22,19315728","1,573538603","7,1",de 10 a 12 años
2019,CCZ01,"63,1248962","2,004642612","3,2",12 o más años
2022,CCZ01,"1,447740113","0,6237093772","43,1",Menos de 6 años
2022,CCZ01,"8,610774818","1,553634663",18,de 6 a 9 años
2022,CCZ01,"22,29620662","2,140485919","9,6",de 10 a 12 años
2022,CCZ01,"67,64527845","2,549350764","3,8",12 o más años
2009,CCZ02,"4,53191372","0,5907329495",13,Menos de 6 años
2009,CCZ02,"18,34832019","1,082576897","5,9",de 6 a 9 años
2009,CCZ02,"24,09940972","1,108805341","4,6",de 10 a 12 años
2009,CCZ02,"53,02035637","1,385289826","2,6",12 o más años
2010,CCZ02,"3,836780169","0,543490009","14,2",Menos de 6 años
2010,CCZ02,"17,77731356","1,159151054","6,5",de 6 a 9 años
2010,CCZ02,"23,6195251","1,192053801",5,de 10 a 12 años
2010,CCZ02,"54,76638117","1,551769856","2,8",12 o más años
2011,CCZ02,"2,660026253","0,3933068991","14,8",Menos de 6 años
2011,CCZ02,"15,73623658","1,023213767","6,5",de 6 a 9 años
2011,CCZ02,"23,8244151","1,10476489","4,6",de 10 a 12 años
2011,CCZ02,"57,77932206","1,460690421","2,5",12 o más años
2012,CCZ02,"1,925188664","0,3291174247","17,1",Menos de 6 años
2012,CCZ02,"16,22859279","1,041491112","6,4",de 6 a 9 años
2012,CCZ02,"22,4644284","1,086738295","4,8",de 10 a 12 años
2012,CCZ02,"59,38179015","1,47715958","2,5",12 o más años
2013,CCZ02,"2,930667993","0,4813901492","16,4",Menos de 6 años
2013,CCZ02,"13,18122202","0,8701632075","6,6",de 6 a 9 años
2013,CCZ02,"22,51368097","1,040896265","4,6",de 10 a 12 años
2013,CCZ02,"61,37442902","1,302685597","2,1",12 o más años
2014,CCZ02,"2,277027608","0,3849511532","16,9",Menos de 6 años
2014,CCZ02,"14,16100456","0,8789957583","6,2",de 6 a 9 años
2014,CCZ02,"20,85232648","1,031002223","4,9",de 10 a 12 años
2014,CCZ02,"62,70964135","1,338873551","2,1",12 o más años
2015,CCZ02,"2,714455428","0,4319504777","15,9",Menos de 6 años
2015,CCZ02,"14,76251317","0,9754290248","6,6",de 6 a 9 años
2015,CCZ02,"21,23147961","1,080235662","5,1",de 10 a 12 años
2015,CCZ02,"61,29155179","1,476696287","2,4",12 o más años
2016,CCZ02,"2,026492163","0,3481747464","17,2",Menos de 6 años
2016,CCZ02,"14,26988232","1,206687066","8,5",de 6 a 9 años
2016,CCZ02,"25,05936989","1,278487805","5,1",de 10 a 12 años
2016,CCZ02,"58,64425563","1,861804683","3,2",12 o más años
2017,CCZ02,"1,463805461","0,2780117343",19,Menos de 6 años
2017,CCZ02,"13,83252853","1,144342188","8,3",de 6 a 9 años
2017,CCZ02,"21,28581018","1,194866064","5,6",de 10 a 12 años
2017,CCZ02,"63,41785583","1,509537571","2,4",12 o más años
2018,CCZ02,"1,238963258","0,2621018326","21,2",Menos de 6 años
2018,CCZ02,"11,93154847","0,9662630844","8,1",de 6 a 9 años
2018,CCZ02,"22,56954334","1,143026161","5,1",de 10 a 12 años
2018,CCZ02,"64,25994493","1,507019242","2,3",12 o más años
2019,CCZ02,"1,568813882","0,341698438","21,8",Menos de 6 años
2019,CCZ02,"11,49275018","0,9655373089","8,4",de 6 a 9 años
